base,folder,camera,file,subfolder,filename,class,count,date_time,date_time_original,focal_length,exif_image_width,exif_image_length,waypoint,site,habitat,canopy_cov,elev_m,sui_top,sui_bottom,lon,lat,face_num,face_dir,camera angle,incline parallel,incline perpendicular,distance to quadrat_cm,deploy date,removal date,notes,aji_note
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0567.JPG.JPG,cf. Lamiaceae,11,2023:09:20 11:00:10,2023:09:20 11:00:10,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0570.JPG.JPG,Thymus sp.,1,2023:09:20 14:00:14,2023:09:20 14:00:14,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0570.JPG.JPG,White flower,1,2023:09:20 14:00:14,2023:09:20 14:00:14,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0572.JPG.JPG,Yellow flower,1,2023:09:20 16:00:17,2023:09:20 16:00:17,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0573.JPG.JPG,White flower,3,2023:09:20 17:00:19,2023:09:20 17:00:19,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0573.JPG.JPG,Pink flower,1,2023:09:20 17:00:19,2023:09:20 17:00:19,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0573.JPG.JPG,Alchemilla vulgaris,1,2023:09:20 17:00:19,2023:09:20 17:00:19,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0573.JPG.JPG,cf. Lamiaceae,1,2023:09:20 17:00:19,2023:09:20 17:00:19,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0574.JPG.JPG,White flower,3,2023:09:20 18:00:21,2023:09:20 18:00:21,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,101MEDIA,CalPhe2023_CID010_DCIM_101MEDIA_DSCF0574.JPG.JPG,cf. Lamiaceae,1,2023:09:20 18:00:21,2023:09:20 18:00:21,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
